file,rating,note
"api/Dockerfile",7,"Baseline: acceptable structure/readability"
"api/__init__.py",7,"Baseline: acceptable structure/readability"
"api/config.py",7,"Baseline: acceptable structure/readability"
"api/database.py",7,"Baseline: acceptable structure/readability"
"api/fly.toml",7,"Baseline: acceptable structure/readability"
"api/main.py",7,"Middleware/routers clean; global handler can mask exception detail"
"api/middleware/auth.py",4,"MVP JWT auth path and comments indicate incomplete WorkOS/JWKS verification"
"api/middleware/rate_limit.py",7,"Baseline: acceptable structure/readability"
"api/migrations/001_initial_schema.sql",7,"Baseline: acceptable structure/readability"
"api/migrations/002_billing_moderation.sql",7,"Baseline: acceptable structure/readability"
"api/migrations/003_tos_tracking.sql",7,"Baseline: acceptable structure/readability"
"api/migrations/004_api_key_hashes.sql",7,"Baseline: acceptable structure/readability"
"api/migrations/run_migration.py",7,"Baseline: acceptable structure/readability"
"api/requirements.txt",7,"Baseline: acceptable structure/readability"
"api/routes/__init__.py",7,"Baseline: acceptable structure/readability"
"api/routes/api_keys.py",7,"Encryption/hash storage good; provider validation is minimal"
"api/routes/auth.py",6,"Device flow integrated but local JWT model and sync paths are simplified"
"api/routes/billing.py",7,"Baseline: acceptable structure/readability"
"api/routes/proxy.py",4,"Flat 1-credit deduction conflicts with token/mode-aware proxy billing"
"api/routes/team.py",7,"RBAC checks present; depends on migration integrity"
"api/routes/usage.py",6,"Usage reconstruction from usage_logs is lossy compared to usage_events"
"api/routes/users.py",7,"Baseline: acceptable structure/readability"
"api/scripts/01_migration_teams_rbac.py",3,"Migration script uses incompatible data types and duplicate table assumptions"
"api/services/encryption.py",7,"Baseline: acceptable structure/readability"
"api/services/moderation.py",7,"Baseline: acceptable structure/readability"
"proxy/Dockerfile",7,"Baseline: acceptable structure/readability"
"proxy/config.py",7,"Baseline: acceptable structure/readability"
"proxy/content_filter.py",4,"Placeholder hate-speech patterns reduce production trust"
"proxy/database.py",7,"Baseline: acceptable structure/readability"
"proxy/fly.toml",7,"Baseline: acceptable structure/readability"
"proxy/litellm_config.yaml",7,"Baseline: acceptable structure/readability"
"proxy/main.py",7,"Reasonable gateway architecture; auth/billing paths mixed with legacy assumptions"
"proxy/metering.py",7,"Usage metering is solid but depends on DB function behavior"
"proxy/requirements.txt",7,"Baseline: acceptable structure/readability"
"src/__init__.py",7,"Baseline: acceptable structure/readability"
"src/agents/__init__.py",7,"Baseline: acceptable structure/readability"
"src/agents/anthropic.py",7,"Baseline: acceptable structure/readability"
"src/agents/base.py",7,"Baseline: acceptable structure/readability"
"src/agents/cohere.py",7,"Baseline: acceptable structure/readability"
"src/agents/custom.py",7,"Baseline: acceptable structure/readability"
"src/agents/deepseek.py",7,"Baseline: acceptable structure/readability"
"src/agents/factory.py",7,"Baseline: acceptable structure/readability"
"src/agents/google.py",7,"Baseline: acceptable structure/readability"
"src/agents/groq.py",7,"Baseline: acceptable structure/readability"
"src/agents/health.py",7,"Baseline: acceptable structure/readability"
"src/agents/litellm_client.py",7,"Baseline: acceptable structure/readability"
"src/agents/mistral.py",7,"Baseline: acceptable structure/readability"
"src/agents/openai.py",7,"Baseline: acceptable structure/readability"
"src/agents/openrouter.py",7,"Baseline: acceptable structure/readability"
"src/agents/tester_agent.py",7,"Baseline: acceptable structure/readability"
"src/agents/xai.py",7,"Baseline: acceptable structure/readability"
"src/api/__init__.py",7,"Baseline: acceptable structure/readability"
"src/auth/__init__.py",7,"Baseline: acceptable structure/readability"
"src/auth/auth_manager.py",7,"Baseline: acceptable structure/readability"
"src/auth/device_flow.py",7,"Baseline: acceptable structure/readability"
"src/auth/key_validator.py",7,"Baseline: acceptable structure/readability"
"src/auth/keychain.py",7,"Baseline: acceptable structure/readability"
"src/billing/__init__.py",7,"Baseline: acceptable structure/readability"
"src/billing/cost_breakdown.py",7,"Baseline: acceptable structure/readability"
"src/billing/credits.py",7,"Baseline: acceptable structure/readability"
"src/billing/overage.py",7,"Baseline: acceptable structure/readability"
"src/billing/spending_caps.py",7,"Baseline: acceptable structure/readability"
"src/billing/stripe_service.py",6,"Core flows work; webhook idempotency is in-memory only"
"src/core/__init__.py",7,"Baseline: acceptable structure/readability"
"src/core/agent_bus.py",7,"Baseline: acceptable structure/readability"
"src/core/arbiter.py",6,"Strong framework but memory pardon overrides deterministic outcomes; ELO complexity signal weak"
"src/core/architect.py",6,"Plan judging is heuristic, easy to game"
"src/core/autonomous.py",4,"Critical logic gaps: ChatStore init mismatch, placeholder arbiter, budget semantics"
"src/core/blackboard.py",7,"Baseline: acceptable structure/readability"
"src/core/chat_pipeline.py",7,"Baseline: acceptable structure/readability"
"src/core/chat_store.py",7,"Baseline: acceptable structure/readability"
"src/core/commands.py",7,"Baseline: acceptable structure/readability"
"src/core/config.py",5,"Global path handling causes non-hermetic behavior in tests/sandbox"
"src/core/context_compactor.py",6,"Compaction summarizer is naive and loses semantic fidelity"
"src/core/context_manager.py",7,"Baseline: acceptable structure/readability"
"src/core/crash_recovery.py",7,"Baseline: acceptable structure/readability"
"src/core/dag.py",7,"Baseline: acceptable structure/readability"
"src/core/dag_nodes.py",5,"Hardcoded language to python in arbiter evaluate; architect mock verdict path"
"src/core/diff_engine.py",7,"Baseline: acceptable structure/readability"
"src/core/elo_tracker.py",7,"Baseline: acceptable structure/readability"
"src/core/events.py",7,"Baseline: acceptable structure/readability"
"src/core/init.py",7,"Baseline: acceptable structure/readability"
"src/core/intent_analyzer.py",7,"Baseline: acceptable structure/readability"
"src/core/logger.py",7,"Baseline: acceptable structure/readability"
"src/core/mcp_client.py",7,"Richer async MCP client exists but is not main execution path"
"src/core/memory.py",7,"Baseline: acceptable structure/readability"
"src/core/mode_manager.py",7,"Baseline: acceptable structure/readability"
"src/core/model_registry.py",7,"Baseline: acceptable structure/readability"
"src/core/orchestrator.py",7,"Baseline: acceptable structure/readability"
"src/core/parallel_dispatcher.py",7,"Baseline: acceptable structure/readability"
"src/core/phase_tracker.py",7,"Baseline: acceptable structure/readability"
"src/core/project_context.py",7,"Baseline: acceptable structure/readability"
"src/core/quality_tiers.py",7,"Baseline: acceptable structure/readability"
"src/core/reflection_engine.py",6,"Writes memory.json not per-agent md despite contract comments"
"src/core/router.py",7,"Baseline: acceptable structure/readability"
"src/core/security.py",7,"Baseline: acceptable structure/readability"
"src/core/system_prompt.py",6,"Good context assembly but heavy prompt injection and broad exception swallowing"
"src/core/task_brief.py",7,"Baseline: acceptable structure/readability"
"src/core/task_tracker.py",7,"Baseline: acceptable structure/readability"
"src/core/workspace.py",7,"Baseline: acceptable structure/readability"
"src/data/models.json",7,"Baseline: acceptable structure/readability"
"src/services/__init__.py",7,"Baseline: acceptable structure/readability"
"src/services/analytics.py",7,"Baseline: acceptable structure/readability"
"src/services/email.py",7,"Baseline: acceptable structure/readability"
"src/services/monitoring.py",7,"Baseline: acceptable structure/readability"
"src/services/registry.py",7,"Baseline: acceptable structure/readability"
"src/tools/__init__.py",7,"Baseline: acceptable structure/readability"
"src/tools/filesystem.py",7,"Baseline: acceptable structure/readability"
"src/tools/handoff.py",7,"Baseline: acceptable structure/readability"
"src/tools/lsp.py",7,"Baseline: acceptable structure/readability"
"src/tools/mcp_client.py",6,"Sync stdio MCP implementation duplicates core client and lacks robust lifecycle controls"
"src/tools/repo_map.py",7,"Baseline: acceptable structure/readability"
"src/tools/sandbox.py",5,"References undefined config.user.api_base_url; proxy verification path fragile"
"src/tools/tool_registry.py",6,"MCP cache/discovery path tightly coupled to sync manager"
"src/tools/tree_sitter_utils.py",7,"Baseline: acceptable structure/readability"
"src/tui/__init__.py",7,"Baseline: acceptable structure/readability"
"src/tui/app.py",7,"Baseline: acceptable structure/readability"
